"IAT","ST_Kasir","ST_Dapur"
6.81666666666667,4.66666666666667,10.3333333333333
5.91666666666667,3.41666666666667,15.6
5.4,2.35,11.2666666666667
3.61666666666667,4.13333333333333,15.85
3.63333333333333,4.28333333333333,13.5166666666667
3.23333333333333,3.68333333333333,12.85
6.46666666666667,4.31666666666667,11.35
5.4,3.48333333333333,12.9166666666667
5.83333333333333,3.56666666666667,15.6666666666667
3.08333333333333,3.28333333333333,17.1333333333333
6.88333333333333,2.08333333333333,15.5833333333333
10.3166666666667,2.33333333333333,18.0833333333333
7.85,2.08333333333333,20
7.73333333333333,3.91666666666667,13.0166666666667
7.73333333333333,2.93333333333333,13.3833333333333
8.21666666666667,3.51666666666667,9.68333333333333
9.1,4.71666666666667,17.5833333333333
8.73333333333333,2.75,17.9
8.15,3.23333333333333,11.4
9.45,4.26666666666667,15.8666666666667
7.56666666666667,2.7,17.65
8.16666666666667,2.23333333333333,14.6833333333333
8.46666666666667,2.86666666666667,16.5333333333333
8.81666666666667,2.48333333333333,14.5166666666667
10.15,4.8,10.35
4.6,4.41666666666667,17.15
5.53333333333333,3.9,17.9666666666667
5.78333333333333,4.61666666666667,16.2
4.13333333333333,4.41666666666667,11.15
5.83333333333333,2.55,11.75
4.5,4.66666666666667,10.6166666666667
4.2,3.61666666666667,16.3166666666667
6.85,4.41666666666667,17.8
6.9,4.68333333333333,15.2666666666667
6.41666666666667,2.95,16.8333333333333
4.91666666666667,2.33333333333333,11.4
7.78333333333333,2.68333333333333,30
12.4666666666667,3.28333333333333,9.9
10.5333333333333,4.45,11.6833333333333
7.96666666666667,4.58333333333333,16.6333333333333
10.9666666666667,2.03333333333333,13.2666666666667
7.26666666666667,3.53333333333333,17.6333333333333
